Player,Team,SACK,INT,FR,FF,TD,ASSIST,SAFETY,PA,YDS,AGN,FPTS
Denver Broncos,,39.5,15.3,12.3,20.6,4,0,1,291.9,"4,957.80",,120.7
Arizona Cardinals,,40.5,15.2,12.4,19.5,3.8,0,0.5,311.5,"4,902.40",,119.7
Seattle Seahawks,,39.6,14.8,11.3,17.7,3.4,0,1,287.9,"4,977.90",,114.1
Houston Texans,,39.7,15.2,10.7,18.7,3.6,0,0.5,335.5,"5,525.90",,113.9
Minnesota Vikings,,32.9,16.3,12.7,20.3,3.8,0,0,315.2,"5,564.50",,113.7
Kansas City Chiefs,,38.6,15.3,10.6,16.7,3.7,0,0,297.7,"4,944.00",,112.8
New England Patriots,,38.4,14.9,11,17.5,3.3,0,1,286.8,"5,221.10",,112.1
Carolina Panthers,,39.3,14.9,11.4,18.6,3,0,1,357.3,"5,502.30",,111.9
Philadelphia Eagles,,34.5,15,11.7,20.1,3.6,0,1,338,"5,553.20",,111.4
Tampa Bay Buccaneers,,36.9,14.4,11.1,18.7,3.3,0,0.5,372.5,"5,801.00",,108.4
New York Giants,,34.9,15.6,11,18.4,3.2,0,0.5,319.7,"5,435.90",,108.1
Jacksonville Jaguars,,36.8,14.5,10.1,16.5,3.5,0,0.5,377.4,"5,344.10",,107.9
Baltimore Ravens,,35.7,14.8,11.2,17.6,3.3,0,0,311,"5,169.20",,107.5
Pittsburgh Steelers,,37,15,11.6,19,2.9,0,0,318.7,"5,428.20",,107.3
Los Angeles Chargers,,35.8,14.2,11.5,18.4,3.2,0,0.5,385.1,"5,455.60",,107.2
Tennessee Titans,,38.1,13.9,9.2,16.2,3.3,0,0.5,352.5,"5,473.30",,105.3
Green Bay Packers,,36.6,15.4,8.9,15.5,3,0,1,357.9,"5,702.10",,104.9
Los Angeles Rams,,36.9,13.9,11.3,17.9,2.6,0,0.5,349.7,"5,390.30",,103.7
Miami Dolphins,,34,14.8,9.7,16.3,3.1,0,1,374.4,"5,944.10",,103.6
Dallas Cowboys,,34.2,13.7,11.5,18.8,2.9,0,0.5,335.7,"5,521.00",,102.7
Oakland Raiders,,31.5,14.7,11.6,19.9,2.9,0,0.5,375.9,"5,868.30",,102.7
Cincinnati Bengals,,35.4,15.6,9.5,14.5,2.7,0,0,320.4,"5,586.20",,101.9
Buffalo Bills,,36,14.4,8.8,15.3,3,0,0,386.8,"5,987.20",,100.4
Washington Redskins,,35.4,12.6,11.2,18.7,2.7,0,0.5,376.7,"5,985.80",,100.2
Indianapolis Colts,,33.5,13.8,9.6,18.6,3.2,0,0,376.1,"5,902.40",,99.4
Atlanta Falcons,,33.2,12.7,10.1,17.3,3.1,0,0.5,374.9,"5,872.90",,98.3
San Francisco 49ers,,32.1,13.2,9.6,17.6,2.7,0,0,410.5,"6,073.80",,93.7
Detroit Lions,,32.7,12,8.5,15.2,2.4,0,2,389.3,"5,941.70",,92
Chicago Bears,,35.6,11.5,8.1,13.6,2.6,0,0,393.4,"5,735.60",,90.4
New Orleans Saints,,30.9,11.5,10.8,18.6,2.3,0,0,434.2,"6,191.30",,88.9
New York Jets,,31.8,11,8.8,15.9,2.7,0,0,388,"5,623.80",,87.3
Cleveland Browns,,32.2,12.5,7.8,14.1,2.2,0,0,403.1,"6,015.80",,86.2
