"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Julio Jones","ATL","0.0","0.3","0.0","98.5","1,491.8","9.1","0.4","202.8"
"Antonio Brown","PIT","3.2","17.8","0.0","109.9","1,414.7","10.1","0.8","202.5"
"Odell Beckham Jr.","NYG","0.5","3.3","0.0","98.4","1,345.0","9.8","1.0","191.8"
"Jordy Nelson","GB","0.0","0.0","0.0","91.8","1,232.9","10.7","1.3","184.9"
"Mike Evans","TB","0.0","0.0","0.0","89.9","1,286.6","9.3","0.3","183.8"
"A.J. Green","CIN","0.0","0.0","0.0","89.5","1,260.8","7.9","0.5","172.6"
"Michael Thomas","NO","0.0","0.0","0.0","94.6","1,191.8","8.1","0.3","167.2"
"T.Y. Hilton","IND","0.0","0.0","0.0","81.9","1,238.7","6.8","0.3","164.1"
"Doug Baldwin","SEA","2.7","15.2","0.2","87.6","1,099.9","8.2","0.2","161.1"
"Amari Cooper","OAK","2.0","10.7","0.0","83.7","1,155.9","6.7","0.4","156.4"
"Dez Bryant","DAL","0.0","0.0","0.0","71.7","1,059.1","8.7","1.6","154.8"
"Allen Robinson","JAC","0.0","0.0","0.0","76.4","1,029.0","7.1","0.4","144.7"
"DeAndre Hopkins","HOU","0.0","0.0","0.0","82.6","1,092.9","5.9","0.3","143.9"
"Brandin Cooks","NE","3.7","21.1","0.1","73.3","1,014.2","6.7","0.3","143.3"
"Michael Crabtree","OAK","0.0","0.0","0.0","83.8","980.9","7.3","0.3","141.4"
"Demaryius Thomas","DEN","0.0","0.3","0.0","84.9","1,072.9","6.2","2.8","139.2"
"Alshon Jeffery","PHI","0.3","2.7","0.0","74.5","1,024.9","5.9","0.3","137.7"
"Kelvin Benjamin","CAR","0.0","-0.2","0.0","68.1","966.1","6.6","1.4","133.5"
"Golden Tate","DET","6.8","32.7","0.1","89.3","1,005.6","5.3","1.5","133.4"
"Emmanuel Sanders","DEN","0.7","3.6","0.0","75.2","1,011.4","5.5","0.7","133.1"
"Terrelle Pryor","WAS","1.9","11.3","0.0","69.0","987.6","5.5","0.4","132.6"
"Larry Fitzgerald","ARI","0.2","0.4","0.0","92.3","992.3","6.0","1.6","132.2"
"Davante Adams","GB","0.4","2.1","0.0","70.5","899.1","7.2","1.0","131.5"
"Tyreek Hill","KC","25.4","159.5","1.3","71.8","775.2","5.2","1.5","129.8"
"Jarvis Landry","MIA","3.6","19.2","0.0","87.6","1,003.3","5.0","2.1","128.1"
"Sammy Watkins","LAR","0.1","-0.1","0.0","65.8","963.5","5.4","0.3","127.9"
"Stefon Diggs","MIN","2.1","13.6","0.0","85.3","974.8","4.7","0.3","126.9"
"Willie Snead","NO","0.0","0.0","0.0","73.0","944.8","5.4","0.8","125.3"
"Keenan Allen","LAC","0.1","1.2","0.0","82.0","950.9","5.8","3.1","124.1"
"Jamison Crowder","WAS","2.5","11.8","0.0","74.1","911.6","5.1","1.5","120.4"
"Martavis Bryant","PIT","2.3","14.0","0.1","57.1","838.9","6.1","0.9","120.2"
"Julian Edelman","NE","6.1","39.1","0.1","80.8","903.6","5.0","2.6","119.8"
"Randall Cobb","GB","5.3","36.1","0.1","73.9","816.4","5.7","0.3","119.7"
"Brandon Marshall","NYG","0.0","0.0","0.0","65.3","837.5","5.9","0.8","117.6"
"Pierre Garcon","SF","0.0","0.0","0.0","74.0","909.6","4.6","0.4","117.6"
"Devante Parker","MIA","0.0","0.0","0.0","63.2","869.2","5.1","0.3","116.7"
"Kenny Britt","CLE","2.8","16.6","0.1","63.0","863.7","5.0","1.3","115.6"
"Mike Wallace","BAL","2.5","16.8","0.0","66.5","843.9","4.5","0.2","112.9"
"DeSean Jackson","TB","0.7","4.3","0.0","53.8","849.7","4.6","0.4","112.5"
"Donte Moncrief","IND","1.4","6.7","0.0","62.1","742.9","6.3","0.3","112.3"
