Rank,Player,Team,Pos,Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP
1,David Johnson,ARI,RB,8,1,2,1.2,0.4,1,0
2,Le'Veon Bell,PIT,RB,9,1,6,1.9,0.7,2,0
3,Antonio Brown,PIT,WR,9,1,5,3.1,0.5,3,0
4,Odell Beckham Jr.,NYG,WR,8,3,8,5.3,1.1,5,1
5,Julio Jones,ATL,WR,5,2,12,5.5,1.8,4,-1
6,LeSean McCoy,BUF,RB,6,3,11,6,2.1,6,0
7,Melvin Gordon,LAC,RB,9,3,18,8.6,2.9,10,3
8,A.J. Green,CIN,WR,6,6,14,8.8,2.1,8,0
9,Mike Evans,TB,WR,11,4,18,9.4,2.7,7,-2
10,Devonta Freeman,ATL,RB,5,5,19,9.6,2.4,9,-1
11,Jordy Nelson,GB,WR,8,4,16,11.1,2.6,11,0
12,DeMarco Murray,TEN,RB,8,8,24,13.3,3.1,13,1
13,Jordan Howard,CHI,RB,9,7,26,13.6,3.7,14,1
14,Jay Ajayi,MIA,RB,11,4,35,13.7,5.6,16,2
15,Michael Thomas,NO,WR,5,8,169,15.9,19.4,12,-3
16,Dez Bryant,DAL,WR,6,10,28,18,3.5,19,3
17,T.Y. Hilton,IND,WR,11,12,36,19.3,4.1,17,0
18,Doug Baldwin,SEA,WR,6,15,31,20.3,3.7,24,6
19,Amari Cooper,OAK,WR,10,14,37,20.3,4.1,18,-1
20,Todd Gurley,LAR,RB,8,10,41,20.4,6,20,0
21,Rob Gronkowski,NE,TE,9,14,63,23.3,7.7,21,0
22,Leonard Fournette,JAC,RB,8,12,57,24,8.6,22,0
23,Brandin Cooks,NE,WR,9,16,53,26.4,8.6,25,2
24,Demaryius Thomas,DEN,WR,5,17,49,27.1,6.5,28,4
25,DeAndre Hopkins,HOU,WR,7,15,43,27.2,5.9,26,1
26,Isaiah Crowell,CLE,RB,9,14,59,27.3,7.9,32,6
27,Ezekiel Elliott,DAL,RB,6,4,68,28.4,10.3,15,-12
28,Lamar Miller,HOU,RB,7,17,75,30.6,9.6,27,-1
29,Aaron Rodgers,GB,QB,8,24,106,34.9,9.9,23,-6
30,Travis Kelce,KC,TE,10,22,56,35.7,6,34,4
31,Keenan Allen,LAC,WR,9,20,91,35.8,10.7,30,-1
32,Allen Robinson,JAC,WR,8,21,62,36.4,9.3,37,5
33,Terrelle Pryor,WAS,WR,5,18,89,36.5,13,31,-2
34,Alshon Jeffery,PHI,WR,10,20,72,37,9.5,36,2
35,Marshawn Lynch,OAK,RB,10,18,108,38.6,18.3,35,0
36,Davante Adams,GB,WR,8,18,86,39.6,13,38,2
37,Carlos Hyde,SF,RB,11,18,67,39.6,11.2,44,7
38,Tom Brady,NE,QB,9,28,111,40.3,11.8,33,-5
39,Christian McCaffrey,CAR,RB,11,19,67,41.5,13,29,-10
40,Michael Crabtree,OAK,WR,10,30,79,42.1,10.2,41,1
41,Ty Montgomery,GB,RB,8,16,70,42.1,11.7,43,2
42,Dalvin Cook,MIN,RB,9,14,102,42.7,17.4,40,-2
43,Joe Mixon,CIN,RB,6,20,94,44.3,14.9,39,-4
44,Golden Tate,DET,WR,7,25,79,44.4,11.2,47,3
45,Drew Brees,NO,QB,5,33,107,45.7,10.1,45,0
46,Larry Fitzgerald,ARI,WR,8,22,100,47.3,13.5,49,3
47,Greg Olsen,CAR,TE,11,38,75,51,6.6,48,1
48,Sammy Watkins,LAR,WR,8,22,92,51.6,14.6,46,-2
49,Mark Ingram,NO,RB,5,17,101,53.7,15.4,55,6
50,Spencer Ware,KC,RB,10,22,93,53.9,16.2,54,4
51,C.J. Anderson,DEN,RB,5,26,87,54.1,12.9,63,12
52,Tyreek Hill,KC,WR,10,27,136,54.3,17.3,50,-2
53,Jarvis Landry,MIA,WR,11,32,93,54.6,13.3,42,-11
54,Jordan Reed,WAS,TE,5,30,108,56.8,13,51,-3
55,Emmanuel Sanders,DEN,WR,5,41,121,57.7,14.9,60,5
56,Martavis Bryant,PIT,WR,9,24,123,59.3,17.2,53,-3
57,Bilal Powell,NYJ,RB,11,28,110,60.3,15.3,62,5
58,Russell Wilson,SEA,QB,6,31,133,60.5,14,64,6
59,Julian Edelman,NE,WR,9,33,111,61.5,14.5,52,-7
60,Jimmy Graham,SEA,TE,6,46,102,61.6,10.4,57,-3
61,Stefon Diggs,MIN,WR,9,29,90,63,15.8,58,-3
62,Jamison Crowder,WAS,WR,5,39,96,63.2,13,66,4
63,Ameer Abdullah,DET,RB,7,38,139,64.1,16.1,67,4
64,Matt Ryan,ATL,QB,5,34,126,64.4,14.7,56,-8
65,Tevin Coleman,ATL,RB,5,27,98,66.2,13.8,68,3
66,Willie Snead,NO,WR,5,34,102,67.5,13.2,65,-1
67,Danny Woodhead,BAL,RB,10,29,189,68,20.8,61,-6
68,Mike Gillislee,NE,RB,9,20,114,69.2,17.3,71,3
69,Kelvin Benjamin,CAR,WR,11,29,116,69.4,16.9,59,-10
70,Frank Gore,IND,RB,11,31,138,71,15.9,77,7
71,Andrew Luck,IND,QB,11,34,137,72.1,21.2,72,1
72,Brandon Marshall,NYG,WR,8,40,119,74.1,17.9,69,-3
73,Tyler Eifert,CIN,TE,6,53,118,74.3,12.9,73,0
74,Pierre Garcon,SF,WR,11,33,222,77.4,25.2,74,0
