Rank,Player,Team,Pos,Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,
1,David Johnson,ARI,RB1,8,1,2,1.2,0.4,1,0,#N/A
2,Le'Veon Bell,PIT,RB2,9,1,6,1.9,0.7,2,0,#N/A
3,Antonio Brown,PIT,WR1,9,1,5,3.1,0.5,3,0,#N/A
6,LeSean McCoy,BUF,RB3,6,3,11,6,2.1,6,0,#N/A
7,Melvin Gordon,LAC,RB4,9,3,18,8.6,2.9,10,3,#N/A
9,Mike Evans,TB,WR5,11,4,18,9.4,2.7,7,-2,#N/A
15,Michael Thomas,NO,WR7,5,8,169,15.9,19.4,12,-3,#N/A
18,Doug Baldwin,SEA,WR10,6,15,31,20.3,3.7,24,6,#N/A
23,Brandin Cooks,NE,WR12,9,16,53,26.4,8.6,25,2,#N/A
24,Demaryius Thomas,DEN,WR13,5,17,49,27.1,6.5,28,4,#N/A
26,Isaiah Crowell,CLE,RB11,9,14,59,27.3,7.9,32,6,#N/A
27,Ezekiel Elliott,DAL,RB12,6,4,68,28.4,10.3,15,-12,#N/A
29,Aaron Rodgers,GB,QB1,8,24,106,34.9,9.9,23,-6,
40,Michael Crabtree,OAK,WR20,10,30,79,42.1,10.2,41,1,#N/A
54,Jordan Reed,WAS,TE4,5,30,108,56.8,13,51,-3,#N/A
58,Russell Wilson,SEA,QB4,6,31,133,60.5,14,64,6,#N/A
80,Jameis Winston,TB,QB9,11,45,135,84.8,17.6,81,1,#N/A
99,Dak Prescott,DAL,QB13,6,70,158,101.9,14.9,114,15,#N/A
124,Tyrod Taylor,BUF,QB18,6,89,160,124,15.8,146,22,#N/A
